Author;Title;Co-Authors;Pagination;Published;Venue
Marcel Vollweiler;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;Norbert Hundeshagen, Friedrich Otto;163-172;2010;CIAA 2010
J. Howard Johnson;Uniformizing Rational Relations for Natural Language Applications Using Weighted Determinization.;nan;173-180;2010;CIAA 2010
Manfred Kufleitner;Partially Ordered Two-Way Büchi Automata.;Alexander Lauser;181-190;2010;CIAA 2010
Alexander Lauser;Partially Ordered Two-Way Büchi Automata.;Manfred Kufleitner;181-190;2010;CIAA 2010
Martin Kutrib;Two-Party Watson-Crick Computations.;Andreas Malcher;191-200;2010;CIAA 2010
Andreas Malcher;Two-Party Watson-Crick Computations.;Martin Kutrib;191-200;2010;CIAA 2010
Andreas Maletti;Better Hyper-minimization - Not as Fast, But Fewer Errors.;nan;201-210;2010;CIAA 2010
Manfred Droste;Regular Expressions on Average and in the Long Run.;Ingmar Meinecke;211-221;2010;CIAA 2010
Ingmar Meinecke;Regular Expressions on Average and in the Long Run.;Manfred Droste;211-221;2010;CIAA 2010
Daniel Neider;Reachability Games on Automatic Graphs.;nan;222-230;2010;CIAA 2010
Satoshi Okui;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.;Taro Suzuki;231-240;2010;CIAA 2010
Taro Suzuki;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.;Satoshi Okui;231-240;2010;CIAA 2010
Daniel Reidenbach;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.;Markus L. Schmid;241-250;2010;CIAA 2010
Markus L. Schmid;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.;Daniel Reidenbach;241-250;2010;CIAA 2010
Giusi Castiglione;A Challenging Family of Automata for Classical Minimization Algorithms.;Cyril Nicaud, Marinella Sciortino;251-260;2010;CIAA 2010
Cyril Nicaud;A Challenging Family of Automata for Classical Minimization Algorithms.;Giusi Castiglione, Marinella Sciortino;251-260;2010;CIAA 2010
Marinella Sciortino;A Challenging Family of Automata for Classical Minimization Algorithms.;Giusi Castiglione, Cyril Nicaud;251-260;2010;CIAA 2010
Ming-Hsien Tsai;State of Büchi Complementation.;Seth Fogarty, Moshe Y. Vardi, Yih-Kuen Tsay;261-271;2010;CIAA 2010
Seth Fogarty;State of Büchi Complementation.;Ming-Hsien Tsai, Moshe Y. Vardi, Yih-Kuen Tsay;261-271;2010;CIAA 2010
Moshe Y. Vardi;State of Büchi Complementation.;Ming-Hsien Tsai, Seth Fogarty, Yih-Kuen Tsay;261-271;2010;CIAA 2010
Yih-Kuen Tsay;State of Büchi Complementation.;Ming-Hsien Tsai, Seth Fogarty, Moshe Y. Vardi;261-271;2010;CIAA 2010
Cristina Tîrnauca;Types of Trusted Information That Make DFA Identification with Correction Queries Feasible.;Catalin Ionut Tîrnauca;272-281;2010;CIAA 2010
Catalin Ionut Tîrnauca;Types of Trusted Information That Make DFA Identification with Correction Queries Feasible.;Cristina Tîrnauca;272-281;2010;CIAA 2010
Yanbing Liu;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;Li Guo, Ping Liu, Jianlong Tan;282-289;2010;CIAA 2010
Li Guo;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;Yanbing Liu, Ping Liu, Jianlong Tan;282-289;2010;CIAA 2010
Ping Liu;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;Yanbing Liu, Li Guo, Jianlong Tan;282-289;2010;CIAA 2010
Jianlong Tan;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;Yanbing Liu, Li Guo, Ping Liu;282-289;2010;CIAA 2010
Fang Yu;Relational String Verification Using Multi-track Automata.;Tevfik Bultan, Oscar H. Ibarra;290-299;2010;CIAA 2010
Tevfik Bultan;Relational String Verification Using Multi-track Automata.;Fang Yu, Oscar H. Ibarra;290-299;2010;CIAA 2010
Oscar H. Ibarra;Relational String Verification Using Multi-track Automata.;Fang Yu, Tevfik Bultan;290-299;2010;CIAA 2010
Jan Zdárek;A Note on a Tree-Based 2D Indexing.;Borivoj Melichar;300-309;2010;CIAA 2010
Borivoj Melichar;A Note on a Tree-Based 2D Indexing.;Jan Zdárek;300-309;2010;CIAA 2010
Vincent Le Maout;Regular Expressions at Their Best: A Case for Rational Design.;nan;310-320;2010;CIAA 2010
Zoltán Ésik;Simulations of Weighted Tree Automata.;Andreas Maletti;321-330;2010;CIAA 2010
Andreas Maletti;Simulations of Weighted Tree Automata.;Zoltán Ésik;321-330;2010;CIAA 2010
Sheng Yu;Derick Wood: Always in Our Hearts.;nan;1-2;2011;CIAA 2011
Olivier Gauwin;Streamable Fragments of Forward XPath.;Joachim Niehren;3-15;2011;CIAA 2011
Joachim Niehren;Streamable Fragments of Forward XPath.;Olivier Gauwin;3-15;2011;CIAA 2011
Markus Holzer;Gaining Power by Input Operations: Finite Automata and Beyond.;Martin Kutrib;16-29;2011;CIAA 2011
Martin Kutrib;Gaining Power by Input Operations: Finite Automata and Beyond.;Markus Holzer;16-29;2011;CIAA 2011
Joshua Amavi;Weak Inclusion for XML Types.;Jacques Chabin, Mirian Halfeld Ferrari Alves, Pierre Réty;30-41;2011;CIAA 2011
Jacques Chabin;Weak Inclusion for XML Types.;Joshua Amavi, Mirian Halfeld Ferrari Alves, Pierre Réty;30-41;2011;CIAA 2011
Mirian Halfeld Ferrari Alves;Weak Inclusion for XML Types.;Joshua Amavi, Jacques Chabin, Pierre Réty;30-41;2011;CIAA 2011
Pierre Réty;Weak Inclusion for XML Types.;Joshua Amavi, Jacques Chabin, Mirian Halfeld Ferrari Alves;30-41;2011;CIAA 2011
Denis Béchet;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;Alexander Ja. Dikovsky, Annie Foret;42-52;2011;CIAA 2011
Alexander Ja. Dikovsky;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;Denis Béchet, Annie Foret;42-52;2011;CIAA 2011
Annie Foret;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;Denis Béchet, Alexander Ja. Dikovsky;42-52;2011;CIAA 2011
Erez Buchnik;Bouma2 - A High-Performance Input-Aware Multiple String-Match Algorithm.;nan;53-64;2011;CIAA 2011
Vincent Carnino;Random Generation of Deterministic Acyclic Automata Using Markov Chains.;Sven De Felice;65-75;2011;CIAA 2011
Sven De Felice;Random Generation of Deterministic Acyclic Automata Using Markov Chains.;Vincent Carnino;65-75;2011;CIAA 2011
José M. Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.;Rodrigo Castaño;76-87;2011;CIAA 2011
Rodrigo Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.;José M. Castaño;76-87;2011;CIAA 2011
Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski's Algorithm.;Antonio Restivo, Marinella Sciortino;88-99;2011;CIAA 2011
Antonio Restivo;Nondeterministic Moore Automata and Brzozowski's Algorithm.;Giusi Castiglione, Marinella Sciortino;88-99;2011;CIAA 2011
Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski's Algorithm.;Giusi Castiglione, Antonio Restivo;88-99;2011;CIAA 2011
Supaporn Chairungsee;Building Phylogeny with Minimal Absent Words.;Maxime Crochemore;100-109;2011;CIAA 2011
Maxime Crochemore;Building Phylogeny with Minimal Absent Words.;Supaporn Chairungsee;100-109;2011;CIAA 2011
Chih-Hong Cheng;On the Hardness of Priority Synthesis.;Barbara Jobstmann, Christian Buckl, Alois C. Knoll;110-117;2011;CIAA 2011
Barbara Jobstmann;On the Hardness of Priority Synthesis.;Chih-Hong Cheng, Christian Buckl, Alois C. Knoll;110-117;2011;CIAA 2011
Christian Buckl;On the Hardness of Priority Synthesis.;Chih-Hong Cheng, Barbara Jobstmann, Alois C. Knoll;110-117;2011;CIAA 2011
Alois C. Knoll;On the Hardness of Priority Synthesis.;Chih-Hong Cheng, Barbara Jobstmann, Christian Buckl;110-117;2011;CIAA 2011
Jan Daciuk;Smaller Representation of Finite State Automata.;Dawid Weiss;118-129;2011;CIAA 2011
Dawid Weiss;Smaller Representation of Finite State Automata.;Jan Daciuk;118-129;2011;CIAA 2011
Ingo Felscher;Compositional Failure Detection in Structured Transition Systems.;Wolfgang Thomas;130-141;2011;CIAA 2011
Wolfgang Thomas;Compositional Failure Detection in Structured Transition Systems.;Ingo Felscher;130-141;2011;CIAA 2011
Pawel Gawrychowski;Chrobak Normal Form Revisited, with Applications.;nan;142-153;2011;CIAA 2011
Yo-Sub Han;A Cellular Automaton Model for Car Traffic with a Form-One-Lane Rule.;Sang-Ki Ko;154-165;2011;CIAA 2011
Sang-Ki Ko;A Cellular Automaton Model for Car Traffic with a Form-One-Lane Rule.;Yo-Sub Han;154-165;2011;CIAA 2011
Pierre-Cyrille Héam;Loops and Overloops for Tree Walking Automata.;Vincent Hugot, Olga Kouchnarenko;166-177;2011;CIAA 2011
Vincent Hugot;Loops and Overloops for Tree Walking Automata.;Pierre-Cyrille Héam, Olga Kouchnarenko;166-177;2011;CIAA 2011
Olga Kouchnarenko;Loops and Overloops for Tree Walking Automata.;Pierre-Cyrille Héam, Vincent Hugot;166-177;2011;CIAA 2011
Markus Holzer;Nondeterministic State Complexity of Star-Free Languages.;Martin Kutrib, Katja Meckel;178-189;2011;CIAA 2011
Martin Kutrib;Nondeterministic State Complexity of Star-Free Languages.;Markus Holzer, Katja Meckel;178-189;2011;CIAA 2011
Katja Meckel;Nondeterministic State Complexity of Star-Free Languages.;Markus Holzer, Martin Kutrib;178-189;2011;CIAA 2011
Oscar H. Ibarra;On the Containment and Equivalence Problems for GSMs, Transducers, and Linear CFGs.;nan;190-202;2011;CIAA 2011
Artur Jez;Computing All ℓ-Cover Automata Fast.;Andreas Maletti;203-214;2011;CIAA 2011
Andreas Maletti;Computing All ℓ-Cover Automata Fast.;Artur Jez;203-214;2011;CIAA 2011
Natalia Kushik;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;Khaled El-Fakih, Nina Yevtushenko;215-224;2011;CIAA 2011
Khaled El-Fakih;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;Natalia Kushik, Nina Yevtushenko;215-224;2011;CIAA 2011
Nina Yevtushenko;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;Natalia Kushik, Khaled El-Fakih;215-224;2011;CIAA 2011
Violetta Lonati;Towards More Expressive 2D Deterministic Automata.;Matteo Pradella;225-237;2011;CIAA 2011
Matteo Pradella;Towards More Expressive 2D Deterministic Automata.;Violetta Lonati;225-237;2011;CIAA 2011
Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;nan;238-249;2011;CIAA 2011
James Jerson Ortiz;Distributed Event Clock Automata - Extended Abstract.;Axel Legay, Pierre-Yves Schobbens;250-263;2011;CIAA 2011
Axel Legay;Distributed Event Clock Automata - Extended Abstract.;James Jerson Ortiz, Pierre-Yves Schobbens;250-263;2011;CIAA 2011
Pierre-Yves Schobbens;Distributed Event Clock Automata - Extended Abstract.;James Jerson Ortiz, Axel Legay;250-263;2011;CIAA 2011
Bruno Courcelle;Fly-Automata, Their Properties and Applications.;Irène Durand;264-272;2011;CIAA 2011
Irène Durand;Fly-Automata, Their Properties and Applications.;Bruno Courcelle;264-272;2011;CIAA 2011
Tomás Flouri;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Jan Janousek, Borivoj Melichar, Costas S. Iliopoulos, Solon P. Pissis;273-281;2011;CIAA 2011
Jan Janousek;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Tomás Flouri, Borivoj Melichar, Costas S. Iliopoulos, Solon P. Pissis;273-281;2011;CIAA 2011
Borivoj Melichar;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Tomás Flouri, Jan Janousek, Costas S. Iliopoulos, Solon P. Pissis;273-281;2011;CIAA 2011
Costas S. Iliopoulos;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Tomás Flouri, Jan Janousek, Borivoj Melichar, Solon P. Pissis;273-281;2011;CIAA 2011
Solon P. Pissis;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Tomás Flouri, Jan Janousek, Borivoj Melichar, Costas S. Iliopoulos;273-281;2011;CIAA 2011
Vesna Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;Gordana Pavlovic-Lazetic, Milos Pajic;282-289;2011;CIAA 2011
Gordana Pavlovic-Lazetic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;Vesna Pajic, Milos Pajic;282-289;2011;CIAA 2011
Milos Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;Vesna Pajic, Gordana Pavlovic-Lazetic;282-289;2011;CIAA 2011
Evgeny Skvortsov;Experimental Study of the Shortest Reset Word of Random Automata.;Evgeny Tipikin;290-298;2011;CIAA 2011
Evgeny Tipikin;Experimental Study of the Shortest Reset Word of Random Automata.;Evgeny Skvortsov;290-298;2011;CIAA 2011
Gheorghe Paun;Spiking Neural P Systems Used as Acceptors and Transducers.;nan;1-4;2007;CIAA 2007
Moshe Y. Vardi;Linear-Time Model Checking: Automata Theory in Practice.;nan;5-10;2007;CIAA 2007
Cyril Allauzen;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;Michael Riley, Johan Schalkwyk, Wojciech Skut, Mehryar Mohri;11-23;2007;CIAA 2007
Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;Cyril Allauzen, Johan Schalkwyk, Wojciech Skut, Mehryar Mohri;11-23;2007;CIAA 2007
Johan Schalkwyk;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;Cyril Allauzen, Michael Riley, Wojciech Skut, Mehryar Mohri;11-23;2007;CIAA 2007
Wojciech Skut;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;Cyril Allauzen, Michael Riley, Johan Schalkwyk, Mehryar Mohri;11-23;2007;CIAA 2007
Mehryar Mohri;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;Cyril Allauzen, Michael Riley, Johan Schalkwyk, Wojciech Skut;11-23;2007;CIAA 2007
Bruce W. Watson;Automata Applications in Chip-Design Software.;nan;24-26;2007;CIAA 2007
Mikhail V. Volkov;Synchronizing Automata Preserving a Chain of Partial Orders.;nan;27-37;2007;CIAA 2007
Jean-Marc Champarnaud;Reducing Acyclic Cover Transducers.;Franck Guingne, Jacques Farré;38-50;2007;CIAA 2007
Franck Guingne;Reducing Acyclic Cover Transducers.;Jean-Marc Champarnaud, Jacques Farré;38-50;2007;CIAA 2007
Jacques Farré;Reducing Acyclic Cover Transducers.;Jean-Marc Champarnaud, Franck Guingne;38-50;2007;CIAA 2007
Joachim Klein;None;Christel Baier;51-61;2007;CIAA 2007
Christel Baier;None;Joachim Klein;51-61;2007;CIAA 2007
Massimiliano Goldwurm;Average Value and Variance of Pattern Statistics in Rational Models.;Roberto Radicioni;62-72;2007;CIAA 2007
Roberto Radicioni;Average Value and Variance of Pattern Statistics in Rational Models.;Massimiliano Goldwurm;62-72;2007;CIAA 2007
Manfred Droste;Weighted Automata and Weighted Logics with Discounting.;George Rahonis;73-84;2007;CIAA 2007
George Rahonis;Weighted Automata and Weighted Logics with Discounting.;Manfred Droste;73-84;2007;CIAA 2007
Martin Kutrib;Regulated Nondeterminism in Pushdown Automata.;Andreas Malcher, Larissa Werlein;85-96;2007;CIAA 2007
Andreas Malcher;Regulated Nondeterminism in Pushdown Automata.;Martin Kutrib, Larissa Werlein;85-96;2007;CIAA 2007
Larissa Werlein;Regulated Nondeterminism in Pushdown Automata.;Martin Kutrib, Andreas Malcher;85-96;2007;CIAA 2007
Kai Salomaa;Deterministic Caterpillar Expressions.;Sheng Yu, Jinfeng Zan;97-108;2007;CIAA 2007
Sheng Yu;Deterministic Caterpillar Expressions.;Kai Salomaa, Jinfeng Zan;97-108;2007;CIAA 2007
Jinfeng Zan;Deterministic Caterpillar Expressions.;Kai Salomaa, Sheng Yu;97-108;2007;CIAA 2007
Johanna Högberg;Backward and Forward Bisimulation Minimisation of Tree Automata.;Andreas Maletti, Jonathan May;109-121;2007;CIAA 2007
Andreas Maletti;Backward and Forward Bisimulation Minimisation of Tree Automata.;Johanna Högberg, Jonathan May;109-121;2007;CIAA 2007
Jonathan May;Backward and Forward Bisimulation Minimisation of Tree Automata.;Johanna Högberg, Andreas Maletti;109-121;2007;CIAA 2007
Rafael C. Carrasco;An Implementation of Deterministic Tree Automata Minimization.;Jan Daciuk, Mikel L. Forcada;122-129;2007;CIAA 2007
Jan Daciuk;An Implementation of Deterministic Tree Automata Minimization.;Rafael C. Carrasco, Mikel L. Forcada;122-129;2007;CIAA 2007
Mikel L. Forcada;An Implementation of Deterministic Tree Automata Minimization.;Rafael C. Carrasco, Jan Daciuk;122-129;2007;CIAA 2007
Shmuel Tomi Klein;Accelerating Boyer Moore Searches on Binary Texts.;Miri Ben-Nissan;130-143;2007;CIAA 2007
Miri Ben-Nissan;Accelerating Boyer Moore Searches on Binary Texts.;Shmuel Tomi Klein;130-143;2007;CIAA 2007
Maxime Crochemore;On the Suffix Automaton with Mismatches.;Chiara Epifanio, Alessandra Gabriele, Filippo Mignosi;144-156;2007;CIAA 2007
Chiara Epifanio;On the Suffix Automaton with Mismatches.;Maxime Crochemore, Alessandra Gabriele, Filippo Mignosi;144-156;2007;CIAA 2007
Alessandra Gabriele;On the Suffix Automaton with Mismatches.;Maxime Crochemore, Chiara Epifanio, Filippo Mignosi;144-156;2007;CIAA 2007
Filippo Mignosi;On the Suffix Automaton with Mismatches.;Maxime Crochemore, Chiara Epifanio, Alessandra Gabriele;144-156;2007;CIAA 2007
Hannu Peltola;On String Matching in Chunked Texts.;Jorma Tarhio;157-167;2007;CIAA 2007
Jorma Tarhio;On String Matching in Chunked Texts.;Hannu Peltola;157-167;2007;CIAA 2007
Mehryar Mohri;Factor Automata of Automata and Applications.;Pedro J. Moreno, Eugene Weinstein;168-179;2007;CIAA 2007
Pedro J. Moreno;Factor Automata of Automata and Applications.;Mehryar Mohri, Eugene Weinstein;168-179;2007;CIAA 2007
Eugene Weinstein;Factor Automata of Automata and Applications.;Mehryar Mohri, Pedro J. Moreno;168-179;2007;CIAA 2007
Gregory Kucherov;Subset Seed Automaton.;Laurent Noé, Mikhail A. Roytberg;180-191;2007;CIAA 2007
Laurent Noé;Subset Seed Automaton.;Gregory Kucherov, Mikhail A. Roytberg;180-191;2007;CIAA 2007
Mikhail A. Roytberg;Subset Seed Automaton.;Gregory Kucherov, Laurent Noé;180-191;2007;CIAA 2007
Frantisek Mráz;A Measure for the Degree of Nondeterminism of Context-Free Languages.;Martin Plátek, Friedrich Otto;192-202;2007;CIAA 2007
Martin Plátek;A Measure for the Degree of Nondeterminism of Context-Free Languages.;Frantisek Mráz, Friedrich Otto;192-202;2007;CIAA 2007
Friedrich Otto;A Measure for the Degree of Nondeterminism of Context-Free Languages.;Frantisek Mráz, Martin Plátek;192-202;2007;CIAA 2007
Didier Caucal;Efficient Computation of Throughput Values of Context-Free Languages.;Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;203-213;2007;CIAA 2007
Jurek Czyzowicz;Efficient Computation of Throughput Values of Context-Free Languages.;Didier Caucal, Wojciech Fraczak, Wojciech Rytter;203-213;2007;CIAA 2007
Wojciech Fraczak;Efficient Computation of Throughput Values of Context-Free Languages.;Didier Caucal, Jurek Czyzowicz, Wojciech Rytter;203-213;2007;CIAA 2007
Wojciech Rytter;Efficient Computation of Throughput Values of Context-Free Languages.;Didier Caucal, Jurek Czyzowicz, Wojciech Fraczak;203-213;2007;CIAA 2007
Claus Brabrand;Analyzing Ambiguity of Context-Free Grammars.;Robert Giegerich, Anders Møller;214-225;2007;CIAA 2007
Robert Giegerich;Analyzing Ambiguity of Context-Free Grammars.;Claus Brabrand, Anders Møller;214-225;2007;CIAA 2007
Anders Møller;Analyzing Ambiguity of Context-Free Grammars.;Claus Brabrand, Robert Giegerich;214-225;2007;CIAA 2007
Margareta Ackerman;Efficient Enumeration of Regular Languages.;Jeffrey O. Shallit;226-242;2007;CIAA 2007
